timestamp_ms,acceleration_x_m_s2,acceleration_y_m_s2,acceleration_z_m_s2
950,0.0,0.0,0.0
983,0.0,0.0,0.0
1012,0.0,0.0,0.0
1042,0.0,0.0,0.0
1071,0.0,0.0,0.0
1105,-0.78,0.76,9.44
1139,-0.79,0.7,9.52
1172,-0.76,0.72,9.46
1204,-0.79,0.77,9.48
1240,-0.76,0.74,9.51
1271,-0.76,0.73,9.5
1304,-0.78,0.78,9.51
1337,-0.79,0.77,9.51
1372,-0.78,0.75,9.5
1403,-0.78,0.74,9.5
1436,-0.77,0.8,9.39
1470,-0.76,0.79,9.6
1503,-0.78,0.81,9.61
1534,-0.77,0.9,9.39
1565,-0.76,0.88,9.78
1600,-0.69,1.06,9.53
1632,-0.72,1.05,9.53
1662,-0.75,1.0,9.58
1694,-0.71,1.01,9.56
1728,-0.73,1.02,9.5
1760,-0.7,1.04,9.45
1792,-0.7,0.99,9.52
1827,-0.72,1.01,9.52
1857,-0.7,1.01,9.47
1890,-0.71,0.99,9.5
1922,-0.72,1.02,9.56
1956,-0.71,1.01,9.5
1989,-0.7,1.02,9.53
2022,-0.71,1.0,9.51
2054,-0.71,1.06,9.5
2089,-0.71,1.04,9.52
2122,-0.7,1.02,9.51
2154,-0.72,1.08,9.53
2187,-0.72,1.03,9.51
2223,-0.71,1.03,9.53
2254,-0.68,1.05,9.52
2287,-0.69,1.05,9.52
2322,-0.7,1.04,9.5
2355,-0.7,1.03,9.53
2387,-0.69,1.05,9.5
2418,-0.71,1.0,9.53
2453,-0.72,0.98,9.49
2486,-0.73,1.0,9.52
2515,-0.7,0.96,9.54
2548,-0.74,0.9,9.52
2583,-0.74,0.86,9.52
2614,-0.74,0.87,9.51
2647,-0.76,0.88,9.51
2681,-0.75,0.79,9.5
2712,-0.7,1.02,9.5
2745,-0.75,0.95,9.54
2778,-0.74,0.95,9.56
2810,-0.74,0.96,9.51
2843,-0.72,0.94,9.53
2876,-0.72,1.01,9.52
2907,-0.74,0.91,9.51
2942,-0.72,0.98,9.49
2973,-0.67,1.1,9.53
3005,-0.67,1.0,9.5
3041,-0.68,1.01,9.5
3072,-0.65,1.14,9.5
3104,-0.66,1.11,9.53
3136,-0.72,1.04,9.5
3170,-0.67,1.13,9.51
3203,-0.68,1.08,9.52
3235,-0.67,1.12,9.47
3268,-0.66,1.17,9.5
3303,-0.68,1.1,9.5
3336,-0.67,1.13,9.49
3365,-0.91,0.55,9.55
3401,-0.72,1.15,9.55
3434,-0.66,1.13,9.53
3465,-0.65,1.19,9.51
3497,-0.64,1.18,9.51
3532,-0.66,1.2,9.44
3564,-0.65,1.21,9.55
3597,-0.66,1.24,9.67
3630,-0.65,1.14,9.52
3663,-0.65,1.2,9.48
3696,-0.66,1.19,9.48
3729,-0.62,1.13,9.48
3762,-0.65,1.18,9.46
3795,-0.68,1.21,9.52
3827,-0.65,1.16,9.48
3859,-0.67,1.17,9.48
3894,-0.64,1.18,9.55
3927,-0.67,1.17,9.54
3957,-0.65,1.17,9.49
3990,-0.66,1.16,9.51
4026,-0.64,1.14,9.49
4057,-0.65,1.16,9.54
4089,-0.66,1.18,9.5
4124,-0.64,1.15,9.49
4157,-0.64,1.14,9.52
4189,-0.65,1.16,9.51
4221,-0.66,1.19,9.51
4257,-0.65,1.17,9.52
4290,-0.67,1.16,9.53
4322,-0.64,1.16,9.51
4355,-0.67,1.17,9.5
4390,-0.66,1.16,9.52
4423,-0.67,1.19,9.5
4455,-0.66,1.15,9.52
4488,-0.65,1.16,9.54
4524,-0.64,1.19,9.51
4556,-0.66,1.18,9.54
4589,-0.65,1.17,9.51
4624,-0.65,1.18,9.5
4657,-0.67,1.16,9.48
4689,-0.67,1.16,9.52
4721,-0.66,1.17,9.52
4757,-0.66,1.16,9.51
4790,-0.67,1.19,9.53
4823,-0.66,1.2,9.5
4855,-0.66,1.18,9.52
4890,-0.63,1.19,9.5
4923,-0.66,1.15,9.53
4956,-0.65,1.18,9.5
4990,-0.63,1.21,9.54
5023,-0.64,1.2,9.5
5056,-0.67,1.21,9.56
5089,-0.66,1.21,9.49
5124,-0.63,1.12,9.48
5156,-0.66,1.19,9.51
5188,-0.65,1.17,9.5
5221,-0.66,1.16,9.52
5257,-0.66,1.18,9.5
5289,-0.64,1.16,9.52
5322,-0.65,1.17,9.51
5354,-0.66,1.19,9.53
5390,-0.66,1.17,9.53
5423,-0.66,1.18,9.5
5454,-0.67,1.17,9.5
5490,-0.65,1.2,9.48
5523,-0.65,1.2,9.52
5555,-0.64,1.16,9.54
5587,-0.64,1.21,9.52
5623,-0.64,1.17,9.5
5656,-0.67,1.2,9.53
5689,-0.66,1.19,9.59
5722,-0.65,1.2,9.57
5756,-0.64,1.2,9.49
5789,-0.69,1.21,9.56
5822,-0.65,1.18,9.54
5857,-0.62,1.21,9.48
5890,-0.66,1.21,9.5
5922,-0.62,1.18,9.5
5955,-0.67,1.18,9.59
5991,-0.68,1.2,9.55
6023,-0.64,1.17,9.49
6055,-0.67,1.19,9.54
6088,-0.64,1.19,9.53
6123,-0.65,1.19,9.56
6156,-0.63,1.2,9.52
6189,-0.64,1.19,9.52
6221,-0.65,1.17,9.5
6252,-0.63,1.2,9.47
6285,-0.65,1.18,9.53
6316,-0.66,1.17,9.5
6351,-0.65,1.17,9.52
6383,-0.64,1.18,9.49
6415,-0.67,1.19,9.7
6448,-0.7,1.03,9.4
6483,-0.62,1.22,9.56
6513,-0.65,1.17,9.5
6546,-0.65,1.17,9.51
6579,-0.65,1.18,9.5
6612,-0.64,1.18,9.48
6645,-0.65,1.21,9.52
6677,-0.65,1.18,9.5
6712,-0.64,1.2,9.49
6745,-0.64,1.18,9.52
6776,-0.65,1.21,9.5
6809,-0.63,1.21,9.5
6845,-0.65,1.2,9.5
6877,-0.66,1.2,9.5
6909,-0.67,1.26,9.5
6942,-0.63,1.29,9.5
6975,-0.63,1.27,9.51
7008,-0.62,1.26,9.53
7041,-0.66,1.21,9.5
7072,-0.66,1.23,9.5
7108,-0.66,1.25,9.54
7141,-0.64,1.29,9.55
7173,-0.65,1.24,9.45
7208,-0.63,1.25,9.54
7241,-0.65,1.25,9.51
7272,-0.64,1.26,9.52
7304,-0.66,1.23,9.5
7340,-0.66,1.29,9.53
7372,-0.68,1.2,9.49
7404,-0.66,1.27,9.5
7437,-0.67,1.32,9.49
7471,-0.64,1.3,9.47
7502,-0.69,1.28,9.49
7535,-0.66,1.27,9.5
7569,-0.66,1.23,9.48
7601,-0.67,1.24,9.54
7633,-0.67,1.22,9.51
7663,-0.71,1.2,9.49
7699,-0.7,1.15,9.49
7731,-0.68,1.2,9.52
7761,-0.7,1.21,9.5
7794,-0.69,1.17,9.51
7829,-0.7,1.2,9.54
7861,-0.67,1.13,9.49
7894,-0.64,1.19,9.52
7928,-0.66,1.17,9.53
7960,-0.64,1.21,9.52
7993,-0.56,1.15,8.89
8026,-0.61,1.08,8.78
8061,-0.68,1.22,9.55
8094,-0.69,1.15,9.59
8127,-0.65,1.19,9.47
8159,-0.66,1.24,9.6
8195,-0.65,1.22,9.47
8227,-0.67,1.22,9.6
8259,-0.63,1.19,9.51
8292,-0.65,1.19,9.57
8328,-0.65,1.2,9.57
8360,-0.65,1.19,9.45
8393,-0.63,1.18,9.41
8428,-0.66,1.23,9.71
8461,-0.68,1.2,9.45
8494,-0.62,1.21,9.49
8525,-0.65,1.16,9.54
8561,-0.67,1.17,9.45
8594,-0.62,1.2,9.51
8627,-0.64,1.2,9.55
8659,-0.67,1.2,9.52
8704,-0.63,1.2,9.52
8738,-0.64,1.19,9.51
8772,-0.65,1.2,9.51
8810,-0.63,1.2,9.52
8846,-0.63,1.21,9.49
8880,-0.66,1.22,9.49
8913,-0.63,1.18,9.49
8951,-0.67,1.19,9.55
8986,-0.65,1.19,9.52
9020,-0.63,1.2,9.51
9055,-0.63,1.21,9.5
9093,-0.65,1.2,9.5
9127,-0.64,1.2,9.49
9162,-0.65,1.19,9.52
9199,-0.66,1.19,9.48
9235,-0.66,1.17,9.53
9268,-0.64,1.17,9.48
9304,-0.66,1.2,9.54
9340,-0.65,1.19,9.52
9376,-0.64,1.21,9.51
9411,-0.64,1.23,9.5
9446,-0.66,1.19,9.5
9483,-0.64,1.19,9.52
9517,-0.66,1.23,9.51
9551,-0.65,1.2,9.51
9586,-0.64,1.18,9.52
9623,-0.64,1.17,9.51
9658,-0.67,1.21,9.5
9693,-0.64,1.19,9.5
9731,-0.66,1.17,9.5
9764,-0.64,1.2,9.49
9799,-0.64,1.2,9.49
9834,-0.65,1.2,9.53
9870,-0.63,1.19,9.5
9905,-0.65,1.19,9.51
9939,-0.65,1.2,9.5
9973,-0.61,1.23,9.51
10011,-0.64,1.2,9.54
10046,-0.66,1.2,9.54
10081,-0.62,1.21,9.51
10118,-0.66,1.17,9.47
10152,-0.66,1.19,9.52
10187,-0.65,1.21,9.49
10221,-0.64,1.2,9.49
10259,-0.65,1.18,9.54
10294,-0.64,1.19,9.51
10329,-0.65,1.18,9.5
10363,-0.63,1.21,9.51
10401,-0.65,1.22,9.51
10436,-0.64,1.19,9.54
10470,-0.63,1.19,9.49
10508,-0.64,1.19,9.51
10543,-0.62,1.21,9.51
10577,-0.64,1.21,9.52
10612,-0.64,1.21,9.49
10650,-0.66,1.18,9.53
10686,-0.65,1.17,9.51
10719,-0.65,1.17,9.5
10755,-0.65,1.23,9.5
